Des_Id,Des_Name,Des_Descriptions,Des_Category,Des_Address,Des_City,Des_Price,Des_Rating
12,Chùa Một Cột,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",Du lịch văn hóa ,"Đội Cấn, Ba Đình",Hà Nội,0,"4,3"
17,Văn Miếu – Quốc Tử Giám,"""Văn Miếu – Quốc Tử Giám nằm trong quận Đống Đa và ngay giữa 4 tuyến phố nhộn nhịp: Nguyễn Thái Học, Văn Miếu, Quốc Tử Giám và Tôn Đức Thắng. Bạn cần lưu ý vì xung quanh Văn Miếu có rất nhiều đường một chiều. Văn Miếu - Quốc Tử Giám là trường Quốc học đầu tiên tại Việt Nam. Tại đây đã đào tạo ra rất nhiều thế hệ hiền tài cho đất nước. Văn Miếu thờ 3 vị vua anh minh của dân tộc: Lý Thánh Tông, Lý Nhân Tông và Lê Thánh Tông.
Khu di tích là “tấm gương” phản chiếu tinh thần hiếu học, coi trọng người tài và truyền thống hiếu học của dân tộc ta. Văn Miếu – Quốc Tử Giám là di tích Nho học nổi tiếng, tiêu biểu, có giá trị lớn về nghệ thuật - thẩm mỹ - kiến trúc.""",Du lịch văn hóa ,"Số 58 phố Quốc Tử Giám, phường Văn Miếu, quận Đống Đa",Hà Nội,70000,"4,6"
21,Hoàng Thành Thăng Long,"Khu hoàng thành với các tòa nhà và tác phẩm điêu khắc có từ thế kỷ 11, gồm một tòa tháp và con rồng đá.",Du lịch văn hóa ,"19c Hoàng Diệu, Điện Biên, Ba Đình",Hà Nội,100000,"4,4"
36,Lăng Chủ tịch Hồ Chí Minh,"Thi hài của Chủ tịch Hồ Chí Minh, lãnh tụ nước Việt Nam, được đặt tại lăng mộ và khu di tích lịch sử này.",Du lịch văn hóa ,"Hùng Vương, Điện Biên, Ba Đình",Hà Nội,0,"4,5"
45,Nhà hát Lớn Hà Nội,"Nhà hát lộng lẫy này khánh thành từ năm 1911 và là nơi tổ chức biểu diễn nghệ thuật, trình diễn nhạc cổ điển, khiêu vũ và opera.",Du lịch văn hóa ,"Số 1 phố Tràng Tiền, phường Tràng Tiền, quận Hoàn Kiếm",Hà Nội,120000,"4,6"
46,Nhà thờ Lớn Hà Nội,"Nhà thờ Lớn Hà Nội (tên chính thức: Nhà thờ chính tòa Thánh Giuse, cũng gọi là Nhà thờ chính tòa Hà Nội) là nhà thờ chính tòa của Tổng giáo phận Hà Nội, nơi có ngai tòa của Tổng giám mục. Đây là một nhà thờ cổ kính tại thành phố này, thường xuyên diễn ra các sinh hoạt tín ngưỡng của các giáo dân Công giáo thuộc giáo xứ chính tòa cũng như của toàn tổng giáo phận. Linh mục chính xứ hiện nay là linh mục Antôn Nguyễn Văn Thắng.",Du lịch văn hóa ,"Phố Nhà Chung, phường Hàng Trống, quận Hoàn Kiếm",Hà Nội,0,"4,7"
51,Làng Văn hóa Du lịch các Dân tộc Việt Nam,"Làng Văn hoá các Dân tộc Việt Nam tọa lạc tại một vùng thung lũng được bao bọc xung quanh những quả đồi, quả núi cao. Chính vì thế, Làng Văn hoá các Dân tộc Việt Nam có thể khắc họa rõ nét đời sống, truyền thống của các dân tộc từ vùng núi đến đồng bằng.",Du lịch văn hóa ,"Cổ Đông, Ba Vì",Hà Nội,30000,"4,5"
52,Làng gốm Bát Tràng,"Làng Văn hoá các Dân tộc Việt Nam tọa lạc tại một vùng thung lũng được bao bọc xung quanh những quả đồi, quả núi cao. Chính vì thế, Làng Văn hoá các Dân tộc Việt Nam có thể khắc họa rõ nét đời sống, truyền thống của các dân tộc từ vùng núi đến đồng bằng.",Du lịch văn hóa ,"ven sông Hồng, huyện Gia Lâm",Hà Nội,0,"4,6"
66,Làng lụa Vạn Phúc,"Làng lụa Vạn Phúc Hà Đông là 1 trong những làng nghề dệt lụa nổi tiếng bậc nhất Việt Nam. Đây là làng nghề dệt lụa truyền thống đã được công nhận là kỷ lục “Làng nghề dệt lụa tơ tằm lâu đời nhất vẫn còn duy trì hoạt động đến ngày nay” do Trung tâm sách kỷ lục Việt Nam đã trao tặng. Hơn nữa, làng lụa Hà Đông cũng là 1 điểm đến hấp dẫn cả du khách trong và ngoài nước.",Du lịch văn hóa ,"phường Vạn Phúc, Quận Hà Đông",Hà Nội,0,"4,6"
78,Vườn Quốc Gia Ba Vì,"Vườn quốc gia Ba Vì là nơi có khí hậu trong lành, mát mẻ, có nhiều cảnh quan thiên nhiên ngoạn mục với nhiều con suối bắt nguồn từ núi rừng Ba Vì quanh năm nước chảy như Thiên sơn – Suối ngà, Ao Vua, Khoang Xanh, Hồ Tiên Sa. Là nơi có nhiều di tích lịch sử, văn hóa như: đền Thượng, đền Trung, đền Hạ đền thờ Bác Hồ, tháp Báo Thiên, động Ngọc Hoa.. Chính những điều kiện trên đã tạo nên cho Vườn quốc gia Ba Vì từ lâu đã thành một nơi nghỉ mát vùng núi cao lý tưởng của cả nước.",Du lịch sinh thái,"xã Tản Linh, huyện Ba Vì",Hà Nội,60000,"4,7"
24,Hồ Tây,"Hồ Tây (với các tên gọi khác trong lịch sử như Đầm Xác Cáo, Hồ Kim Ngưu, Lãng Bạc, Dâm Đàm, Đoài Hồ) là hồ tự nhiên lớn nhất thành phố Hà Nội, hiện thuộc địa phận quận Tây Hồ. Đây là một hồ móng ngựa và là vết tích của dòng chảy cũ của sông Hồng. Hồ có diện tích hơn 500 ha",Du lịch sinh thái,Quận Tây Hồ,Hà Nội,0,"4,7"
1,Hồ Gươm,Hồ nước với ngôi đền và tòa tháp tọa lạc trên hai hòn đảo nhỏ. Du khách có thể băng qua cầu gỗ để đến đây.,Du lịch sinh thái,Quận Hoàn Kiếm,Hà Nội,0,"4,7"
9,Đền Cổ Loa,"Thành Cổ Loa là kinh đô của nhà nước Âu Lạc dưới thời An Dương Vương vào khoảng thế kỷ thứ 3 trước Công nguyên và của nhà nước phong kiến dưới thời Ngô Quyền thế kỷ 10 tại vùng đất xã Cổ Loa, huyện Đông Anh, Hà Nội.",Du lịch lịch sử,"Làng Cổ Loa, Huyện Đông Anh",Hà Nội,10000,"4,6"
33,Đền Gióng,"Đền Sóc là một quần thể di tích lịch sử nổi tiếng với rất nhiều ngôi đền như đền Trình, chùa Non Nước, đền Mẫu, chùa Đại Bi, đền Thượng, hòn đá Chồng, tượng đài Thánh Gióng, nhà bia. Đặc biệt hơn, ở đây còn có tượng đài Thánh Gióng đúc bằng đồng nguyên chất có giá trị lớn. Đền Gióng Sóc Sơn còn là quần thể di tích được Nhà nước công nhận Di tích lịch sử cấp Quốc gia vào năm 1962.",Du lịch lịch sử,"núi Sóc, xã Vệ Linh, huyện Sóc Sơn",Hà Nội,0,"4,6"
19,Bảo tàng Hồ Chí Minh,"Bảo tàng Hồ Chí Minh thuộc quần thể di tích cùng với Lăng Chủ tịch Hồ Chí Minh, khu Phủ Chủ tịch, chùa Một Cột và cạnh công viên vườn Bách Thảo. ",Du lịch lịch sử,"số 19 Ngọc Hà, phường Đội Cấn, quận Ba Đình",Hà Nội,0,"4,3"
15,Bảo tàng Mỹ thuật Việt Nam,Mỹ thuật Việt Nam qua các thời kỳ và hình ảnh truyền thông trưng bày trong tòa nhà 3 tầng từ thời thuộc địa.,Du lịch lịch sử,"Số 66 Nguyễn Thái Học, Ba Đình",Hà Nội,40000,"4,5"
16,Bảo tàng Hà Nội,"Năm 1982, theo quyết định của Ủy ban Nhân dân Thành phố Hà Nội, Bảo tàng Hà Nội được thành lập. Nhân dịp kỷ niệm Đại lễ 1.000 năm Thăng Long - Hà Nội, Bảo tàng Hà Nội được khởi công xây dựng từ ngày 19/5/2008 tại đường Phạm Hùng, quận Nam Từ Liêm. Ngày 6/10/2010, bảo tàng được khánh thành. Bảo tàng hình kim tự tháp ngược trưng bày các hiện vật lịch sử về Hà Nội và Việt Nam.",Du lịch lịch sử,"Phạm Hùng, Nam Từ Liêm",Hà Nội,0,"4,2"
14,Bảo tàng gốm Bát Tràng,"Bảo tàng gốm Bát Tràng Hà Nội nổi bật là công trình có kiến trúc “độc nhất vô nhị”. Cảm hứng thiết kế bảo tàng đến từ những khối bàn xoay vuốt gốm quen thuộc của người nghệ nhân. Công trình có 7 xoáy ốc khổng lồ với những mặt cong đa diện.  Các đường cong thiết kế uốn lượn, tự do nhưng vẫn liên kết với nhau một cách chặt chẽ tạo nên tổng thể hài hòa, chắc chắn. Đặc biệt, các vật liệu sử dụng cho bảo tàng gốm sứ Bát Tràng đều là vật liệu gạch nung, ngói của địa phương. Nhìn từ phía dưới lên, những đường xoắn ốc của công trình sẽ khiến bạn liên tưởng đến hẻm núi Siq, nơi dẫn vào thành cổ Petra – Jordan nổi tiếng. Còn khi nhìn từ phía xa, công trình lại đem tới một cảm nhận khác, khiến bạn liên tưởng tới bầu nung gốm hay dòng chảy dữ dội của sông Hồng. ",Du lịch lịch sử,"Làng gốm Bát Tràng, Gia Lâm",Hà Nội,50000,"4,2"
23,Bảo tàng Dân tộc học Việt Nam,Bảo tàng dân tộc học trưng bày về các nền văn hóa đa dạng của Việt Nam với vườn cây và nhà hàng. ,Du lịch lịch sử,"Đường Nguyễn Văn Huyên, Quan Hoa, Cầu Giấy",Hà Nội,40000,"4,9"
38,Bảo tàng Lịch sử quốc gia,"Bảo tàng gồm hai toà nhà trưng bày các hiện vật và nghệ thuật Phật giáo với tượng & di vật chiến tranh. Bảo tàng Lịch sử quốc gia thành lập năm 2011 trên cơ sở sáp nhập bảo tàng Lịch sử Việt Nam và bảo tàng Cách mạng Việt Nam. Trong đó, bảo tàng Lịch sử Việt Nam được thành lập năm 1958, kế thừa bảo tàng Louis Finot do người Pháp xây dựng. Lúc bấy giờ, đây là nơi dùng để trưng bày những cổ vật thu thập được từ các nước Đông Nam Á. Hiện tại, bảo tàng lưu giữ hơn 200.000 hiện vật, tư liệu lịch sử, văn hoá Việt Nam qua nhiều giai đoạn. ",Du lịch lịch sử,"Địa chỉ 1: Số 1 Tràng Tiền, Q. Hoàn Kiếm, Hà Nội
Địa chỉ 2: 216 Trần Quang Khải, Q. Hoàn Kiếm, Hà Nội",Hà Nội,40000,"4,6"
29,Nhà tù Hỏa Lò,"Nhà tù Hỏa Lò hay Ngục Hỏa Lò do thực dân Pháp xây dựng nhằm bắt giữ và tra tấn các chiến sĩ, nhà lãnh đạo yêu nước. Sau khi chuyển đổi mục đích sử dụng, nhà tù được bảo tồn và phục dựng trở thành địa điểm tham quan độc đáo của Thủ đô.",Du lịch lịch sử,"1 phố Hoả Lò, Trần Hưng Đạo, Hoàn Kiếm",Hà Nội,50000,"4,5"
84,Chùa Thầy,"Chùa Thầy từ bao đời nay đã trở thành điểm du lịch tâm linh của người dân Hà Thành. Kiến trúc độc đáo cùng phong cảnh non nước hữu tình càng khiến địa danh này trở nên cuốn hút. Ngôi chùa cổ kính, nổi tiếng với các lễ hội có tiết mục múa rối nước trên mặt hồ.",Du lịch tâm linh,"chân núi Sài Sơn, xã Sài Sơn, huyện Quốc Oai",Hà Nội,10000,"4,5"
85,Chùa Hương,"Chùa Hương tọa lạc tại xã Hương Sơn, huyện Mỹ Đức, cách trung tâm thành phố Hà Nội khoảng 50km. Nơi đây được mệnh danh là một trong những điểm đến tâm linh đặc sắc bậc nhất ở Hà Nội! Chùa Hương cũng là trung tâm của một quần thể văn hóa, tôn giáo gồm nhiều ngôi đền, chùa cổ kính, thiêng liêng khác.",Du lịch tâm linh,"Xã Hương Sơn, huyện Mỹ Đức",Hà Nội,120000,"4,4"
86,Chùa Hà,"Chùa Hà là một ngôi chùa rất linh thiêng, nằm ẩn mình trong 1 con ngõ nhỏ trên đường Cầu Giấy. Trong những năm gần đây chùa là địa điểm lui tới của giới trẻ với niềm tin rằng “Chùa Hà khi đi lẻ bóng khi về có đôi”. Chính vì lẽ đó dần dần nơi đây trở thành một điểm đến thu hút được khách du lịch tại Hà Nội.",Du lịch tâm linh,"86 phố Chùa Hà, phường Dịch Vọng, quận Cầu Giấy",Hà Nội,0,"4,6"
87,Chùa Trấn Quốc,"Ngôi chùa lâu đời xây trên một hòn đảo nhỏ, thơ mộng và có nhiều điện thờ.",Du lịch tâm linh,"Đường Thanh Niên, phường Yên Phụ, quận Tây Hồ",Hà Nội,0,"4,4"
69,Công viên nước Hồ Tây,"
Công viên nước có sông lười, bể bơi, cầu trượt, những trò chơi như vòng đu quay và tàu lượn siêu tốc.",Du lịch giải trí,"Đường Lạc Long Quân, Nhật Tân, Tây Hồ",Hà Nội,170000,"4,1"
70,Nhà hát múa rối Thăng Long,"Nhà hát múa rối Thăng Long là địa điểm múa rối nước truyền thống duy nhất có lịch biểu diễn thường xuyên suốt 365 ngày. Nhiều năm qua, nhà hát đã góp phần quảng bá món “đặc sản” tinh thần độc đáo mang đậm tính nghệ thuật dân gian này đến cho nhiều du khách trong nước và quốc tế. Nhà hát múa rối Thăng Long là điểm đến văn hóa lý tưởng thu hút đông đảo du khách trong và ngoài nước khi có dịp du lịch Hà Nội. Tại đây, du khách sẽ được thưởng thức trọn vẹn những màn biểu diễn múa rối nước đỉnh cao - loại hình nghệ thuật chỉ có duy nhất tại Việt Nam.",Du lịch giải trí,"Phố Đinh Tiên Hoàng, Hàng Bạc, Hoàn Kiếm",Hà Nội,150000,"4,3"
72,Thiên đường Bảo Sơn,"Thiên Đường Bảo Sơn là công viên vui chơi giải trí được khai trương từ năm 2008, tọa lạc tại đường Lê Trọng Tấn, xã An Khánh, huyện Hoài Đức, thủ đô Hà Nội. Thiên Đường Bảo Sơn được xây dựng theo kiến trúc kết hợp giữa truyền thống và hiện đại. Đến đây, bạn sẽ được tận hưởng khung cảnh thiên nhiên với không khí trong lành và chiêm ngưỡng những nét văn hóa nghệ thuật của thế giới và Việt Nam thông qua những tiết mục giải trí khác nhau. Thiên Đường Bảo Sơn nằm ngay cửa ngõ du lịch Hà Nội, nơi đây là một trong những công viên giải trí được đầu tư ứng dụng công nghệ hiện đại vào những hoạt động văn nghệ và văn hóa.",Du lịch giải trí,"đường Lê Trọng Tấn, xã An Khánh, huyện Hoài Đức",Hà Nội,200000,4
73,Times City Mega Fun,"Khu vui chơi Times City (tên đầy đủ là Vincom Mega Mall Times City) là siêu trung tâm thương mại (TTTM) liên hoàn dưới tầng ngầm lớn nhất Đông Nam Á. Không chỉ gây ấn tượng nhờ thế giới sầm uất, kỳ thú dưới lòng đất, Times City còn trở thành điểm đến vui chơi hấp dẫn của Thủ đô bởi chính cảnh quan và hệ thống tiện ích ưu việt của toàn khu đô thị. ",Du lịch giải trí,"458 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng",Hà Nội,0,"4,7"
